model,total_gpu_energy,energy_score,class,test date
berkeley-nest/Starling-LM-7B-alpha,0.019011,2,A,Feb 25
distilbert/distilgpt2,0.001313,5,A,Feb 25
Salesforce/xLAM-7b-r,0.01917,2,A,Feb 25
openai-community/gpt2,0.002146,5,A,Feb 25
openai-community/gpt2-xl,0.008921,4,A,Feb 25
openai-community/gpt2-medium,0.003956,5,A,Feb 25
openai-community/gpt2-large,0.006121,5,A,Feb 25
openai-community/openai-gpt,0.002704,5,A,Feb 25
microsoft/phi-1,0.006393,5,A,Feb 25
microsoft/phi-1_5,0.00629,5,A,Feb 25
microsoft/phi-2,0.009864,4,A,Feb 25
microsoft/phi-4,0.028741,1,A,Feb 25
CohereForAI/aya-23-8B,0.017817,2,A,Feb 25
allenai/OLMo-1.7-7B-hf,0.016831,3,A,Feb 25
allenai/OLMo-1B-hf,0.005594,5,A,Feb 25
facebook/opt-2.7b,0.00806,4,A,Feb 25
facebook/opt-125m,0.001944,5,A,Feb 25
mistralai/Mistral-7B-v0.1,0.01913,2,A,Feb 25
mistralai/Ministral-8B-Instruct-2410,0.020875,2,A,Feb 25
tiiuae/falcon-7b,0.015875,3,A,Feb 25
meta-llama/Meta-Llama-3-8B,0.017333,3,A,Feb 25
meta-llama/Llama-2-7b-hf,0.016441,3,A,Feb 25
meta-llama/Meta-Llama-3.1-8B,0.017376,3,A,Feb 25
meta-llama/Llama-2-13b-hf,0.026102,1,A,Feb 25
HuggingFaceTB/SmolLM2-1.7B-Instruct,0.007708,4,A,Feb 25
HuggingFaceTB/SmolLM-1.7B,0.007645,4,A,Feb 25
HuggingFaceTB/SmolLM-135M,0.00728,4,A,Feb 25
HuggingFaceTB/SmolLM-360M,0.008095,4,A,Feb 25
google/gemma-2b,0.00868,4,A,Feb 25
google/gemma-7b,0.0189,2,A,Feb 25
google/gemma-2-2b-it,0.018639,2,A,Feb 25
01-ai/Yi-1.5-9B,0.023001,2,A,Feb 25
mistralai/Mixtral-8x7B-v0.1,0.61539,1,B,Feb 25
Qwen/QwQ-32B-Preview,0.054556,5,B,Feb 25
01-ai/Yi-1.5-34B,0.056079,5,B,Feb 25
CohereForAI/c4ai-command-r-plus,3.426382,1,C,Feb 25
crm-sf/TextBase-70B,1.721556,5,C,Feb 25
meta-llama/Meta-Llama-3-70B,1.719656,5,C,Feb 25
meta-llama/Llama-2-70b-hf,1.648505,5,C,Feb 25
Qwen/Qwen2.5-72B-Instruct,1.869553,5,C,Feb 25
google/gemma-3-4b-pt,0.0343867,4,A,Dec 25
google/gemma-3-270m,0.00929,5,A,Dec 25
Qwen/Qwen3-0.6B,0.01183,5,A,Dec 25
tencent/Hunyuan-1.8B-Instruct,0.0042,5,A,Dec 25
mistralai/Mistral-Nemo-Instruct-2407,0.02319,4,A,Dec 25
Qwen/Qwen2.5-Coder-14B,0.02712,4,A,Dec 25
microsoft/Phi-4-reasoning-plus,0.01842,5,A,Dec 25
google/gemma-3-1b-pt,0.01233,5,A,Dec 25
ibm-granite/granite-4.0-micro,0.01663,5,A,Dec 25
HuggingFaceTB/SmolLM3-3B,0.01835,5,A,Dec 25
ibm-granite/*granite-4.0-h-tiny,0.08182,1,A,Dec 25
swiss-ai/Apertus-8B-Instruct-2509,0.02174,4,A,Dec 25
google/gemma-3-27b-pt,0.05041,2,B,Dec 25
Qwen/Qwen3-30B-A3B,0.03738,5,B,Dec 25
LGAI-EXAONE/EXAONE-4.0-32B,0.05448,1,B,Dec 25
zai-org/GLM-4.5-Air,0.22055,5,C,Dec 25
Qwen/Qwen3-235B-A22B,0.30581,4,C,Dec 25
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,0.03664,5,C,Dec 25
zai-org/GLM-4.5,1.22542,1,C,Dec 25
zai-org/GLM-4.6,1.27355,1,C,Dec 25
swiss-ai/Apertus-70B-Instruct-2509,0.69752,3,C,Dec 25
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,0.04953,5,C,Dec 25
